zone,dron,blok,t_dilim_blok_ici,t_dakika_global,hex,risk,max_interval_dk
S1,D8,3,11,350,H2843,5.8,242.6086956521739
S1,D8,5,4,520,H3245,4.6,273.9130434782609
S1,D8,5,8,560,H3137,3.7,297.39130434782606
S1,D8,6,4,640,H3437,5.05,262.17391304347825
S1,D8,6,7,670,H3467,5.35,254.3478260869565
S1,D8,6,8,680,H3041,4.6,273.9130434782609
S1,D8,6,10,700,H3461,3.25,309.1304347826087
S1,D8,7,6,780,H2855,4.9,266.0869565217391
S1,D8,7,10,820,H2843,5.8,242.6086956521739
S1,D9,1,1,10,H3149,5.8,242.6086956521739
S1,D9,1,2,20,H3365,5.35,254.3478260869565
S1,D9,1,3,30,H2621,5.5,250.43478260869563
S1,D9,1,4,40,H3239,5.05,262.17391304347825
S1,D9,2,1,130,H2213,5.05,262.17391304347825
S1,D9,2,2,140,H2333,5.05,262.17391304347825
S1,D9,2,3,150,H2429,5.05,262.17391304347825
S1,D9,2,4,160,H2729,5.5,250.43478260869563
S1,D9,2,5,170,H3227,5.05,262.17391304347825
S1,D9,2,6,180,H2831,5.05,262.17391304347825
S1,D9,2,7,190,H3227,5.05,262.17391304347825
S1,D9,2,8,200,H2441,4.3,281.7391304347826
S1,D9,2,9,210,H2207,5.5,250.43478260869563
S1,D9,2,11,230,H2831,5.05,262.17391304347825
S1,D9,3,1,250,H2435,5.05,262.17391304347825
S1,D9,3,3,270,H2651,5.2,258.2608695652174
S1,D9,3,4,280,H2531,5.05,262.17391304347825
S1,D9,3,5,290,H3239,5.05,262.17391304347825
S1,D9,3,6,300,H2321,5.05,262.17391304347825
S1,D9,3,7,310,H2609,5.05,262.17391304347825
S1,D9,3,8,320,H2441,4.3,281.7391304347826
S1,D9,3,9,330,H3041,4.6,273.9130434782609
S1,D9,3,10,340,H3449,4.6,273.9130434782609
S1,D10,1,1,10,H3155,5.8,242.6086956521739
S1,D10,1,2,20,H2429,5.05,262.17391304347825
S1,D10,1,3,30,H2651,5.2,258.2608695652174
S1,D10,1,4,40,H3023,3.1,313.04347826086956
S1,D10,2,1,130,H2333,5.05,262.17391304347825
S1,D10,2,2,140,H2543,4.3,281.7391304347826
S1,D10,2,3,150,H2525,5.05,262.17391304347825
S1,D10,2,4,160,H3059,4.6,273.9130434782609
S1,D10,2,5,170,H2531,5.05,262.17391304347825
S1,D10,2,6,180,H3425,5.05,262.17391304347825
S1,D10,2,7,190,H3143,5.05,262.17391304347825
S1,D10,2,8,200,H2645,3.85,293.47826086956525
S1,D10,2,9,210,H2315,5.5,250.43478260869563
S1,D10,2,11,230,H3329,5.05,262.17391304347825
S1,D10,3,1,250,H2555,4.9,266.0869565217391
S1,D10,3,2,260,H2753,4.9,266.0869565217391
S1,D10,3,4,280,H3359,1.3,360.0
S1,D10,3,5,290,H3251,5.05,262.17391304347825
S1,D10,3,8,320,H2327,3.7,297.39130434782606
S1,D10,3,9,330,H3059,4.6,273.9130434782609
S1,D10,3,10,340,H2303,3.1,313.04347826086956
S1,D10,6,2,620,H2213,5.05,262.17391304347825
S1,D10,6,4,640,H2549,4.3,281.7391304347826
S1,D10,7,4,760,H2747,4.6,273.9130434782609
S1,D10,7,6,780,H3455,3.25,309.1304347826087
S1,D10,7,10,820,H2213,5.05,262.17391304347825
S1,D10,8,6,900,H3323,1.75,348.2608695652174
S2,D1,1,1,10,H2153,5.65,246.52173913043475
S2,D1,1,2,20,H1787,5.65,246.52173913043475
S2,D1,1,3,30,H2129,5.5,250.43478260869563
S2,D1,1,4,40,H1889,5.65,246.52173913043475
S2,D1,1,6,60,H2105,5.5,250.43478260869563
S2,D1,1,8,80,H1709,5.5,250.43478260869563
S2,D1,1,10,100,H1631,5.65,246.52173913043475
S2,D1,2,1,130,H1931,6.7,219.1304347826087
S2,D1,2,2,140,H1931,6.7,219.1304347826087
S2,D1,2,3,150,H1937,6.25,230.86956521739128
S2,D1,2,4,160,H2357,5.8,242.6086956521739
S2,D1,2,5,170,H2003,7.45,199.56521739130432
S2,D1,2,6,180,H2003,7.45,199.56521739130432
S2,D1,2,7,190,H1925,5.95,238.69565217391303
S2,D1,2,8,200,H1931,6.7,219.1304347826087
S2,D1,2,9,210,H1931,6.7,219.1304347826087
S2,D1,2,10,220,H2003,7.45,199.56521739130432
S2,D1,3,1,250,H2123,5.05,262.17391304347825
S2,D1,3,3,270,H1997,5.05,262.17391304347825
S2,D1,3,5,290,H1829,4.75,270.0
S2,D1,3,6,300,H1925,5.95,238.69565217391303
S2,D1,3,8,320,H1787,5.65,246.52173913043475
S2,D1,4,0,360,H1733,5.8,242.6086956521739
S2,D1,4,2,380,H1697,5.8,242.6086956521739
S2,D1,4,4,400,H2003,7.45,199.56521739130432
S2,D1,4,6,420,H2447,5.8,242.6086956521739
S2,D1,4,8,440,H1925,5.95,238.69565217391303
S2,D1,4,10,460,H2057,5.65,246.52173913043475
S2,D1,5,0,480,H2003,7.45,199.56521739130432
S2,D1,6,0,600,H2003,7.45,199.56521739130432
S2,D1,6,2,620,H1733,5.8,242.6086956521739
