zone,dron,blok,t_dilim_blok_ici,t_dakika_global,kaynak,hedef
S2,D3,1,0,0,S2,H1889
S2,D3,1,11,110,H1931,S2
S2,D3,2,0,120,S2,H1943
S2,D3,2,10,220,H1955,H1619
S2,D3,3,0,240,S2,H2075
S2,D3,3,2,260,H2051,S2
S2,D3,3,11,350,H2057,H2231
S2,D3,11,0,1200,S2,S2
S2,D3,11,2,1220,H1643,S2
S2,D3,11,3,1230,S2,H1775
S2,D3,11,5,1250,H2339,H2117
S2,D3,11,7,1270,H2117,H1499
S2,D3,11,9,1290,H2231,H2177
S2,D3,11,11,1310,H2129,S2
S2,D3,12,0,1320,S2,S2
S2,D3,12,2,1340,H1763,S2
S2,D3,12,4,1360,H1691,S2
S2,D3,12,6,1380,H1907,S2
S2,D4,1,0,0,S2,H2159
S2,D4,1,11,110,H2447,S2
S2,D4,2,0,120,S2,H1733
S2,D4,2,9,210,H2447,H1925
S2,D4,3,0,240,S2,H1769
S2,D4,3,3,270,H1511,H1985
S2,D4,3,11,350,H1607,H2009
S2,D4,11,0,1200,S2,S2
S2,D4,11,2,1220,H1817,S2
S2,D4,11,4,1240,H2027,S2
S2,D4,11,7,1270,H2255,S2
S2,D4,11,9,1290,H2141,S2
S2,D4,11,11,1310,H2147,S2
S2,D4,12,0,1320,S2,S2
S2,D4,12,2,1340,H1715,S2
S2,D4,12,5,1370,H1829,S2
S2,D4,12,7,1390,H1595,S2
S2,D5,1,0,0,S2,H1637
S2,D5,1,11,110,H1937,S2
S2,D5,2,0,120,S2,H1559
S2,D5,2,9,210,H1733,H1535
S2,D5,3,0,240,S2,H1985
S2,D5,3,3,270,H2363,H1769
S2,D5,3,9,330,H2261,H1703
S2,D5,3,11,350,H2039,H1805
S2,D5,5,0,480,S2,H1805
S2,D5,5,1,490,H1805,H1691
S2,D5,5,2,500,H1691,H1685
S2,D5,5,3,510,H1685,H1679
S2,D5,5,4,520,H1679,H1787
S2,D5,5,5,530,H1787,H1673
S2,D5,5,6,540,H1673,H1547
S2,D5,5,7,550,H1547,H1955
S2,D5,5,8,560,H1955,H1739
S2,D5,5,9,570,H1739,H1631
S2,D5,5,10,580,H1631,H1637
S2,D5,5,11,590,H1637,H1697
S2,D5,11,0,1200,S2,S2
S2,D5,11,3,1230,H2111,S2
S2,D5,11,5,1250,H2105,S2
S2,D5,11,9,1290,H2219,S2
S2,D5,11,11,1310,H2225,S2
S2,D5,12,0,1320,S2,S2
S2,D5,12,2,1340,H1769,S2
S2,D5,12,4,1360,H1649,S2
S2,D5,12,8,1400,H1535,S2
S2,D6,1,0,0,S2,H2057
S2,D6,1,11,110,H1925,S2
S2,D6,2,0,120,S2,S2
S2,D6,2,10,220,H1625,S2
S2,D6,3,0,240,S2,H1685
S2,D6,3,3,270,H1619,H1829
S2,D6,3,8,320,H1523,H1625
S2,D6,3,9,330,H1625,S2
S2,D6,5,0,480,S2,H1913
S2,D6,5,1,490,H1913,H1919
S2,D6,5,2,500,H1919,H1925
S2,D6,5,3,510,H1925,H1823
S2,D6,5,4,520,H1823,H1829
S2,D6,5,5,530,H1829,H1721
S2,D6,5,6,540,H1721,H1727
S2,D6,5,7,550,H1727,H1607
S2,D6,5,8,560,H1607,H1613
S2,D6,5,9,570,H1613,H1619
S2,D6,5,10,580,H1619,H1523
S2,D6,5,11,590,H1523,H1625
S2,D6,7,0,720,S2,S2
S2,D6,7,2,740,H1793,H1799
S2,D6,7,3,750,H1799,S2
S2,D6,7,4,760,S2,H1817
S2,D6,7,5,770,H1817,H1823
S2,D6,7,6,780,H1823,H1721
S2,D6,7,7,790,H1721,H1607
S2,D6,7,8,800,H1607,H1511
S2,D6,7,9,810,H1511,H1517
S2,D6,7,10,820,H1517,H1523
S2,D6,7,11,830,H1523,H2447
S2,D6,9,0,960,S2,S2
S2,D6,9,2,980,H1793,H1799
S2,D6,9,3,990,H1799,S2
S2,D6,9,4,1000,S2,H1817
S2,D6,9,5,1010,H1817,H1823
S2,D6,9,6,1020,H1823,H1721
S2,D6,9,7,1030,H1721,H1607
S2,D6,9,8,1040,H1607,H1511
S2,D6,9,9,1050,H1511,H1517
S2,D6,9,10,1060,H1517,H1523
S2,D6,9,11,1070,H1523,H2231
S2,D6,11,0,1200,S2,S2
S2,D6,11,3,1230,H1625,S2
S2,D6,11,8,1280,H1745,S2
S2,D6,11,11,1310,H1841,S2
